arxiv_id,page_count,word_count,char_count,extraction_method,source_file,error,status
1307.4157v5,0,5695,34636,pymupdf,1307.4157v5.pdf,,skipped_existing
1307.0645v2,0,2370,15345,pymupdf,1307.0645v2.pdf,,skipped_existing
1306.6393v3,0,2436,15458,pymupdf,1306.6393v3.pdf,,skipped_existing
1306.3346v2,0,2658,17110,pymupdf,1306.3346v2.pdf,,skipped_existing
1305.6913v1,0,4070,25209,pymupdf,1305.6913v1.pdf,,skipped_existing
1304.5032v2,0,2204,14886,pymupdf,1304.5032v2.pdf,,skipped_existing
1304.4386v1,0,5367,33305,pymupdf,1304.4386v1.pdf,,skipped_existing
1304.3354v2,0,5458,32717,pymupdf,1304.3354v2.pdf,,skipped_existing
1301.2380v1,0,2981,18048,pymupdf,1301.2380v1.pdf,,skipped_existing
1212.0210v1,0,5981,33897,pymupdf,1212.0210v1.pdf,,skipped_existing
1211.3818v1,0,2598,16996,pymupdf,1211.3818v1.pdf,,skipped_existing
1210.2418v1,0,4460,27004,pymupdf,1210.2418v1.pdf,,skipped_existing
1210.1743v2,0,2301,14399,pymupdf,1210.1743v2.pdf,,skipped_existing
1210.1305v1,0,6263,38086,pymupdf,1210.1305v1.pdf,,skipped_existing
1209.3846v1,0,1976,12853,pymupdf,1209.3846v1.pdf,,skipped_existing
1208.5873v3,0,1930,12845,pymupdf,1208.5873v3.pdf,,skipped_existing
1208.5307v1,0,2474,17231,pymupdf,1208.5307v1.pdf,,skipped_existing
1208.3189v2,0,3194,19355,pymupdf,1208.3189v2.pdf,,skipped_existing
1208.2818v3,0,4907,31513,pymupdf,1208.2818v3.pdf,,skipped_existing
1208.2796v1,0,1328,7920,pymupdf,1208.2796v1.pdf,,skipped_existing
1207.6935v2,0,3071,18469,pymupdf,1207.6935v2.pdf,,skipped_existing
1207.6845v4,0,2065,13768,pymupdf,1207.6845v4.pdf,,skipped_existing
1207.5428v5,0,2884,18556,pymupdf,1207.5428v5.pdf,,skipped_existing
1207.5395v1,0,1977,12878,pymupdf,1207.5395v1.pdf,,skipped_existing
1207.5248v1,0,1619,9966,pymupdf,1207.5248v1.pdf,,skipped_existing
1207.4955v1,0,3733,22073,pymupdf,1207.4955v1.pdf,,skipped_existing
1207.3558v4,0,2974,18807,pymupdf,1207.3558v4.pdf,,skipped_existing
1207.3145v1,0,3181,20981,pymupdf,1207.3145v1.pdf,,skipped_existing
